inchikey,NR.AhR,NR.AR,NR.AR.LBD,NR.Aromatase,NR.ER,NR.ER.LBD,NR.PPAR.gamma,SR.ARE,SR.ATAD5,SR.HSE,SR.MMP,SR.p53
AAALVYBICLMAMA-UHFFFAOYSA-N,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,0.0,1.0,0.0
AAEVYOVXGOFMJO-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAFNEINEQRQMTF-WUUYCOTASA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAFXQFIGKBLKMC-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAIBYZBZXNWTPP-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAKDPDFZMNYDLR-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAKJLRGGTJKAMG-UHFFFAOYSA-N,1.0,1.0,0.0,1.0,0.0,0.0,,1.0,0.0,0.0,,0.0
AAMHBRRZYSORSH-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAOVKJBEBIDNHE-UHFFFAOYSA-N,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
AAPVQEMYVNZIOO-UHFFFAOYSA-N,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,,,0.0
AATNZNJRDOVKDD-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
AAXVEMMRQDVLJB-BULBTXNYSA-N,0.0,1.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABBQHOQBGMUPJH-UHFFFAOYSA-M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
ABCSSKWSUJMJCP-WQDFMEOSSA-N,0.0,1.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
ABDKAPXRBAPSQN-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABFDKXBSQCTIKH-UHFFFAOYSA-M,0.0,0.0,,,,,,1.0,0.0,0.0,,0.0
ABJKIHHNDMEBNA-UHFFFAOYSA-N,,,,,,,,0.0,,0.0,,
ABJKWBDEJIDSJZ-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
ABLACSIRCKEUOB-UHFFFAOYSA-N,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,1.0,1.0
ABNDFSOIUFLJAH-UHFFFAOYSA-N,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0
